sales,date,store
847,01/31/13,1
846,02/28/13,1
733,03/31/13,1
743,04/30/13,1
607,05/31/13,1
694,06/30/13,1
883,07/31/13,1
746,08/31/13,1
732,09/30/13,1
707,10/31/13,1
755,11/30/13,1
796,12/31/13,1
680,01/31/14,1
764,02/28/14,1
709,03/31/14,1
946,04/30/14,1
755,05/31/14,1
656,06/30/14,1
656,07/31/14,1
712,08/31/14,1
719,09/30/14,1
825,10/31/14,1
728,11/30/14,1
847,12/31/14,1
834,01/31/15,1
722,02/28/15,1
745,03/31/15,1
786,04/30/15,1
976,05/31/15,1
738,06/30/15,1
713,07/31/15,1
978,08/31/15,1
796,09/30/15,1
924,10/31/15,1
649,11/30/15,1
807,12/31/15,1
737,01/31/16,1
762,02/28/16,1
747,03/31/16,1
887,04/30/16,1
641,05/31/16,1
735,06/30/16,1
824,07/31/16,1
594,08/31/16,1
725,09/30/16,1
727,10/31/16,1
881,11/30/16,1
838,12/31/16,1
852,01/31/17,1
699,02/28/17,1
721,03/31/17,1
751,04/30/17,1
849,05/31/17,1
693,06/30/17,1
885,07/31/17,1
805,08/31/17,1
749,09/30/17,1
749,10/31/17,1
855,11/30/17,1
854,12/31/17,1
728,01/31/18,1
707,02/28/18,1
791,03/31/18,1
715,04/30/18,1
722,05/31/18,1
761,06/30/18,1
929,07/31/18,1
894,08/31/18,1
835,09/30/18,1
691,10/31/18,1
643,11/30/18,1
816,12/31/18,1
829,01/31/19,1
793,02/28/19,1
735,03/31/19,1
672,04/30/19,1
975,05/31/19,1
756,06/30/19,1
709,07/31/19,1
649,08/31/19,1
817,09/30/19,1
801,10/31/19,1
722,11/30/19,1
705,12/31/19,1
832,01/31/20,1
502,02/28/20,1
849,03/31/20,1
773,04/30/20,1
699,05/31/20,1
749,06/30/20,1
957,07/31/20,1
808,08/31/20,1
810,09/30/20,1
937,10/31/20,1
756,11/30/20,1
764,12/31/20,1
927,01/31/21,1
669,02/28/21,1
818,03/31/21,1
759,04/30/21,1
815,05/31/21,1
787,06/30/21,1
903,07/31/21,1
748,08/31/21,1
765,09/30/21,1
825,10/31/21,1
732,11/30/21,1
718,12/31/21,1
942,01/31/22,1
788,02/28/22,1
703,03/31/22,1
834,04/30/22,1
859,05/31/22,1
745,06/30/22,1
875,07/31/22,1
906,08/31/22,1
724,09/30/22,1
722,10/31/22,1
803,11/30/22,1
820,12/31/22,1
944,01/31/23,1
795,02/28/23,1
739,03/31/23,1
762,04/30/23,1
789,05/31/23,1
640,06/30/23,1
