sales,date,store
596,01/31/13,1
545,02/28/13,1
558,03/31/13,1
554,04/30/13,1
546,05/31/13,1
531,06/30/13,1
672,07/31/13,1
537,08/31/13,1
602,09/30/13,1
478,10/31/13,1
527,11/30/13,1
692,12/31/13,1
679,01/31/14,1
493,02/28/14,1
522,03/31/14,1
563,04/30/14,1
538,05/31/14,1
590,06/30/14,1
457,07/31/14,1
565,08/31/14,1
624,09/30/14,1
661,10/31/14,1
576,11/30/14,1
503,12/31/14,1
486,01/31/15,1
498,02/28/15,1
535,03/31/15,1
551,04/30/15,1
594,05/31/15,1
537,06/30/15,1
458,07/31/15,1
454,08/31/15,1
490,09/30/15,1
640,10/31/15,1
618,11/30/15,1
561,12/31/15,1
533,01/31/16,1
520,02/28/16,1
603,03/31/16,1
590,04/30/16,1
570,05/31/16,1
507,06/30/16,1
567,07/31/16,1
604,08/31/16,1
583,09/30/16,1
588,10/31/16,1
562,11/30/16,1
574,12/31/16,1
588,01/31/17,1
550,02/28/17,1
615,03/31/17,1
478,04/30/17,1
590,05/31/17,1
546,06/30/17,1
599,07/31/17,1
524,08/31/17,1
572,09/30/17,1
698,10/31/17,1
517,11/30/17,1
562,12/31/17,1
548,01/31/18,1
518,02/28/18,1
508,03/31/18,1
597,04/30/18,1
583,05/31/18,1
611,06/30/18,1
569,07/31/18,1
563,08/31/18,1
506,09/30/18,1
520,10/31/18,1
564,11/30/18,1
560,12/31/18,1
636,01/31/19,1
511,02/28/19,1
548,03/31/19,1
507,04/30/19,1
784,05/31/19,1
571,06/30/19,1
538,07/31/19,1
639,08/31/19,1
544,09/30/19,1
614,10/31/19,1
504,11/30/19,1
614,12/31/19,1
585,01/31/20,1
572,02/28/20,1
488,03/31/20,1
569,04/30/20,1
528,05/31/20,1
561,06/30/20,1
617,07/31/20,1
647,08/31/20,1
409,09/30/20,1
585,10/31/20,1
688,11/30/20,1
569,12/31/20,1
568,01/31/21,1
553,02/28/21,1
650,03/31/21,1
526,04/30/21,1
649,05/31/21,1
521,06/30/21,1
545,07/31/21,1
448,08/31/21,1
579,09/30/21,1
613,10/31/21,1
530,11/30/21,1
475,12/31/21,1
636,01/31/22,1
505,02/28/22,1
693,03/31/22,1
636,04/30/22,1
549,05/31/22,1
536,06/30/22,1
623,07/31/22,1
549,08/31/22,1
586,09/30/22,1
548,10/31/22,1
534,11/30/22,1
480,12/31/22,1
543,01/31/23,1
525,02/28/23,1
471,03/31/23,1
552,04/30/23,1
597,05/31/23,1
488,06/30/23,1
