sales,date,store
685,01/31/13,1
587,02/28/13,1
638,03/31/13,1
604,04/30/13,1
625,05/31/13,1
626,06/30/13,1
700,07/31/13,1
684,08/31/13,1
570,09/30/13,1
625,10/31/13,1
563,11/30/13,1
661,12/31/13,1
698,01/31/14,1
626,02/28/14,1
630,03/31/14,1
513,04/30/14,1
630,05/31/14,1
635,06/30/14,1
708,07/31/14,1
614,08/31/14,1
628,09/30/14,1
588,10/31/14,1
620,11/30/14,1
678,12/31/14,1
802,01/31/15,1
511,02/28/15,1
685,03/31/15,1
533,04/30/15,1
625,05/31/15,1
750,06/30/15,1
557,07/31/15,1
665,08/31/15,1
537,09/30/15,1
586,10/31/15,1
634,11/30/15,1
567,12/31/15,1
613,01/31/16,1
464,02/28/16,1
649,03/31/16,1
733,04/30/16,1
678,05/31/16,1
660,06/30/16,1
638,07/31/16,1
624,08/31/16,1
671,09/30/16,1
631,10/31/16,1
577,11/30/16,1
738,12/31/16,1
745,01/31/17,1
558,02/28/17,1
683,03/31/17,1
790,04/30/17,1
601,05/31/17,1
511,06/30/17,1
712,07/31/17,1
642,08/31/17,1
628,09/30/17,1
723,10/31/17,1
714,11/30/17,1
617,12/31/17,1
686,01/31/18,1
629,02/28/18,1
524,03/31/18,1
581,04/30/18,1
626,05/31/18,1
590,06/30/18,1
660,07/31/18,1
666,08/31/18,1
635,09/30/18,1
587,10/31/18,1
656,11/30/18,1
668,12/31/18,1
681,01/31/19,1
684,02/28/19,1
605,03/31/19,1
580,04/30/19,1
598,05/31/19,1
690,06/30/19,1
680,07/31/19,1
697,08/31/19,1
572,09/30/19,1
647,10/31/19,1
629,11/30/19,1
611,12/31/19,1
664,01/31/20,1
594,02/28/20,1
561,03/31/20,1
718,04/30/20,1
530,05/31/20,1
704,06/30/20,1
647,07/31/20,1
632,08/31/20,1
611,09/30/20,1
734,10/31/20,1
713,11/30/20,1
702,12/31/20,1
577,01/31/21,1
566,02/28/21,1
586,03/31/21,1
645,04/30/21,1
437,05/31/21,1
703,06/30/21,1
644,07/31/21,1
715,08/31/21,1
577,09/30/21,1
735,10/31/21,1
763,11/30/21,1
672,12/31/21,1
616,01/31/22,1
566,02/28/22,1
543,03/31/22,1
712,04/30/22,1
661,05/31/22,1
671,06/30/22,1
581,07/31/22,1
627,08/31/22,1
644,09/30/22,1
626,10/31/22,1
559,11/30/22,1
624,12/31/22,1
631,01/31/23,1
582,02/28/23,1
603,03/31/23,1
605,04/30/23,1
634,05/31/23,1
628,06/30/23,1
