sales,date,store
484,01/31/13,1
525,02/28/13,1
413,03/31/13,1
455,04/30/13,1
491,05/31/13,1
511,06/30/13,1
529,07/31/13,1
455,08/31/13,1
428,09/30/13,1
536,10/31/13,1
492,11/30/13,1
527,12/31/13,1
546,01/31/14,1
482,02/28/14,1
552,03/31/14,1
482,04/30/14,1
443,05/31/14,1
486,06/30/14,1
472,07/31/14,1
545,08/31/14,1
505,09/30/14,1
436,10/31/14,1
423,11/30/14,1
530,12/31/14,1
541,01/31/15,1
493,02/28/15,1
432,03/31/15,1
422,04/30/15,1
455,05/31/15,1
504,06/30/15,1
508,07/31/15,1
517,08/31/15,1
458,09/30/15,1
492,10/31/15,1
522,11/30/15,1
537,12/31/15,1
552,01/31/16,1
445,02/28/16,1
486,03/31/16,1
471,04/30/16,1
469,05/31/16,1
487,06/30/16,1
518,07/31/16,1
422,08/31/16,1
521,09/30/16,1
547,10/31/16,1
411,11/30/16,1
549,12/31/16,1
483,01/31/17,1
541,02/28/17,1
507,03/31/17,1
447,04/30/17,1
443,05/31/17,1
479,06/30/17,1
519,07/31/17,1
554,08/31/17,1
458,09/30/17,1
468,10/31/17,1
477,11/30/17,1
554,12/31/17,1
461,01/31/18,1
412,02/28/18,1
459,03/31/18,1
515,04/30/18,1
479,05/31/18,1
462,06/30/18,1
449,07/31/18,1
440,08/31/18,1
531,09/30/18,1
525,10/31/18,1
419,11/30/18,1
548,12/31/18,1
444,01/31/19,1
428,02/28/19,1
515,03/31/19,1
525,04/30/19,1
430,05/31/19,1
440,06/30/19,1
461,07/31/19,1
477,08/31/19,1
488,09/30/19,1
452,10/31/19,1
484,11/30/19,1
561,12/31/19,1
464,01/31/20,1
456,02/28/20,1
473,03/31/20,1
472,04/30/20,1
523,05/31/20,1
486,06/30/20,1
502,07/31/20,1
613,08/31/20,1
398,09/30/20,1
465,10/31/20,1
516,11/30/20,1
510,12/31/20,1
494,01/31/21,1
445,02/28/21,1
513,03/31/21,1
413,04/30/21,1
487,05/31/21,1
606,06/30/21,1
447,07/31/21,1
540,08/31/21,1
408,09/30/21,1
549,10/31/21,1
458,11/30/21,1
516,12/31/21,1
500,01/31/22,1
414,02/28/22,1
476,03/31/22,1
467,04/30/22,1
493,05/31/22,1
445,06/30/22,1
535,07/31/22,1
469,08/31/22,1
556,09/30/22,1
486,10/31/22,1
404,11/30/22,1
464,12/31/22,1
624,01/31/23,1
456,02/28/23,1
450,03/31/23,1
545,04/30/23,1
538,05/31/23,1
410,06/30/23,1
