sales,date,store
896,01/31/13,1
824,02/28/13,1
1018,03/31/13,1
925,04/30/13,1
748,05/31/13,1
855,06/30/13,1
894,07/31/13,1
1041,08/31/13,1
904,09/30/13,1
919,10/31/13,1
886,11/30/13,1
865,12/31/13,1
894,01/31/14,1
846,02/28/14,1
836,03/31/14,1
1010,04/30/14,1
1003,05/31/14,1
695,06/30/14,1
824,07/31/14,1
874,08/31/14,1
816,09/30/14,1
767,10/31/14,1
968,11/30/14,1
799,12/31/14,1
943,01/31/15,1
922,02/28/15,1
1023,03/31/15,1
814,04/30/15,1
769,05/31/15,1
911,06/30/15,1
881,07/31/15,1
913,08/31/15,1
834,09/30/15,1
741,10/31/15,1
950,11/30/15,1
970,12/31/15,1
891,01/31/16,1
859,02/28/16,1
951,03/31/16,1
1011,04/30/16,1
808,05/31/16,1
766,06/30/16,1
1056,07/31/16,1
943,08/31/16,1
935,09/30/16,1
768,10/31/16,1
1046,11/30/16,1
785,12/31/16,1
865,01/31/17,1
843,02/28/17,1
1006,03/31/17,1
777,04/30/17,1
782,05/31/17,1
904,06/30/17,1
928,07/31/17,1
1000,08/31/17,1
977,09/30/17,1
899,10/31/17,1
954,11/30/17,1
911,12/31/17,1
1014,01/31/18,1
829,02/28/18,1
827,03/31/18,1
852,04/30/18,1
989,05/31/18,1
831,06/30/18,1
705,07/31/18,1
888,08/31/18,1
966,09/30/18,1
847,10/31/18,1
739,11/30/18,1
901,12/31/18,1
926,01/31/19,1
584,02/28/19,1
887,03/31/19,1
769,04/30/19,1
1038,05/31/19,1
898,06/30/19,1
846,07/31/19,1
768,08/31/19,1
835,09/30/19,1
866,10/31/19,1
883,11/30/19,1
625,12/31/19,1
908,01/31/20,1
791,02/28/20,1
917,03/31/20,1
740,04/30/20,1
865,05/31/20,1
849,06/30/20,1
888,07/31/20,1
822,08/31/20,1
798,09/30/20,1
829,10/31/20,1
877,11/30/20,1
999,12/31/20,1
813,01/31/21,1
897,02/28/21,1
987,03/31/21,1
908,04/30/21,1
944,05/31/21,1
838,06/30/21,1
934,07/31/21,1
936,08/31/21,1
919,09/30/21,1
870,10/31/21,1
920,11/30/21,1
911,12/31/21,1
724,01/31/22,1
909,02/28/22,1
880,03/31/22,1
746,04/30/22,1
892,05/31/22,1
864,06/30/22,1
876,07/31/22,1
934,08/31/22,1
885,09/30/22,1
804,10/31/22,1
713,11/30/22,1
861,12/31/22,1
892,01/31/23,1
667,02/28/23,1
781,03/31/23,1
932,04/30/23,1
1134,05/31/23,1
822,06/30/23,1
