sales,date,store
4199,01/31/13,1
4062,02/28/13,1
4092,03/31/13,1
3942,04/30/13,1
3679,05/31/13,1
3933,06/30/13,1
4369,07/31/13,1
4187,08/31/13,1
3950,09/30/13,1
4066,10/31/13,1
3767,11/30/13,1
4394,12/31/13,1
4266,01/31/14,1
3999,02/28/14,1
4083,03/31/14,1
4145,04/30/14,1
4209,05/31/14,1
3936,06/30/14,1
3800,07/31/14,1
3974,08/31/14,1
3881,09/30/14,1
4018,10/31/14,1
4056,11/30/14,1
4089,12/31/14,1
4282,01/31/15,1
3786,02/28/15,1
4156,03/31/15,1
3833,04/30/15,1
3957,05/31/15,1
4219,06/30/15,1
3811,07/31/15,1
4307,08/31/15,1
3887,09/30/15,1
4324,10/31/15,1
4007,11/30/15,1
4087,12/31/15,1
4059,01/31/16,1
3622,02/28/16,1
4161,03/31/16,1
4403,04/30/16,1
3838,05/31/16,1
3818,06/30/16,1
4244,07/31/16,1
3878,08/31/16,1
4092,09/30/16,1
4034,10/31/16,1
4098,11/30/16,1
4171,12/31/16,1
4265,01/31/17,1
3852,02/28/17,1
4253,03/31/17,1
3886,04/30/17,1
4056,05/31/17,1
3975,06/30/17,1
4436,07/31/17,1
4215,08/31/17,1
3990,09/30/17,1
4247,10/31/17,1
4211,11/30/17,1
4315,12/31/17,1
4192,01/31/18,1
3608,02/28/18,1
3920,03/31/18,1
3928,04/30/18,1
4078,05/31/18,1
3959,06/30/18,1
4026,07/31/18,1
4093,08/31/18,1
4192,09/30/18,1
3968,10/31/18,1
3683,11/30/18,1
4314,12/31/18,1
4244,01/31/19,1
3715,02/28/19,1
4009,03/31/19,1
3628,04/30/19,1
4484,05/31/19,1
4165,06/30/19,1
3866,07/31/19,1
3972,08/31/19,1
3985,09/30/19,1
4162,10/31/19,1
3861,11/30/19,1
3845,12/31/19,1
4228,01/31/20,1
3582,02/28/20,1
4111,03/31/20,1
4007,04/30/20,1
3945,05/31/20,1
3985,06/30/20,1
4397,07/31/20,1
4236,08/31/20,1
3710,09/30/20,1
4392,10/31/20,1
4279,11/30/20,1
4306,12/31/20,1
4061,01/31/21,1
3924,02/28/21,1
4308,03/31/21,1
3998,04/30/21,1
4109,05/31/21,1
4167,06/30/21,1
4212,07/31/21,1
4124,08/31/21,1
3907,09/30/21,1
4265,10/31/21,1
4216,11/30/21,1
3975,12/31/21,1
4101,01/31/22,1
3922,02/28/22,1
3986,03/31/22,1
4126,04/30/22,1
4138,05/31/22,1
3920,06/30/22,1
4215,07/31/22,1
4328,08/31/22,1
3994,09/30/22,1
3858,10/31/22,1
3767,11/30/22,1
3927,12/31/22,1
4407,01/31/23,1
3565,02/28/23,1
3843,03/31/23,1
4031,04/30/23,1
4530,05/31/23,1
3738,06/30/23,1
